district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std,source_year,planning_room_id,planning_room_name,prediction_area_id,prediction_area_name
43005.0,Mierendorffplatz,1707,1520,1256,17,77,102,1148,30,822,27,563.84,527.0,168.47,439.2,444.0,54.06,601.93,555.5,215.92,710.29,664.0,223.55,698.48,680.17,127.76,765.45,696.0,287.1,2020,,,,
43006.0,Otto-Suhr-Allee/Kantstraße,6450,5841,4878,131,286,265,4384,153,3203,143,547.02,509.0,179.56,452.46,452.0,83.22,564.35,542.5,131.7,667.19,649.5,128.35,714.3,694.36,144.46,792.4,744.5,300.39,2020,,,,
44007.0,Grunewald,2379,1948,1663,40,79,110,1508,20,592,15,660.24,639.5,183.37,569.09,538.0,123.61,709.31,613.0,260.86,813.89,763.0,224.79,844.82,764.52,254.11,982.55,968.0,311.96,2020,,,,
44008.0,Schmargendorf,3717,3488,2885,61,92,99,2593,34,1236,30,633.35,607.0,170.27,564.11,549.5,115.7,657.27,628.0,151.36,701.83,693.5,121.91,779.29,778.58,122.95,956.08,957.0,300.97,2020,,,,
45009.0,Halensee,3141,2886,2426,65,88,127,2175,48,1473,43,568.31,527.0,179.37,532.59,487.0,147.18,549.25,517.0,121.42,678.54,629.0,200.19,734.23,710.39,209.19,828.44,756.0,318.27,2020,,,,
45010.0,Lietzenburger Straße,6511,5888,5003,130,332,237,4443,200,3152,184,545.22,513.0,177.24,465.88,467.0,88.48,563.18,541.0,159.27,676.23,658.0,149.06,729.21,697.47,235.03,748.99,640.0,304.25,2020,,,,
45011.0,Volkspark Wilmersdorf,5630,4863,4081,94,168,200,3636,85,2655,81,538.72,499.0,178.41,458.64,456.5,97.23,511.11,491.0,132.95,632.05,607.0,160.26,689.79,679.94,122.32,845.25,671.0,400.68,2020,,,,
51001.0,Hakenfelde,3319,3002,2494,57,107,100,2264,49,1025,23,671.65,617.5,215.05,580.69,562.0,122.15,694.68,659.5,163.18,786.94,722.0,178.94,961.6,906.75,174.44,1008.68,959.5,317.79,2020,,,,
51002.0,Falkenhagener Feld,5533,4803,3958,95,148,168,3547,50,2008,32,614.69,579.0,176.23,561.44,537.0,131.76,687.28,659.5,175.74,855.32,803.0,253.33,931.07,813.8,354.1,882.5,756.0,332.08,2020,,,,
51003.0,Spandau Mitte,6126,5425,4549,96,171,205,4139,79,2767,70,563.29,528.0,183.98,485.18,464.5,108.75,592.68,551.0,177.77,633.18,596.5,166.28,753.78,724.65,141.22,896.65,817.0,366.93,2020,,,,
